id;username;application;login_date;ip_address;delegation_id;delegator
1;mobile Fish;Home Loan Account Table Computer;2019-08-30T08:36:52;FTP Savings Account;70807;Movies Producer
2;Implementation Electronics Officer;methodology Albania;2019-08-29T23:38:31;intangible;61185;Steel zero administration
3;Multi-channelled Licensed;grey Cambridgeshire;2019-08-29T19:47:26;Refined Rubber Chicken Table;6505;Factors
4;South Dakota envisioneer Music;Nakfa;2019-08-29T23:26:42;Rubber Buckinghamshire Games;90932;Digitized invoice
5;convergence;Mayotte;2019-08-30T05:34:19;Facilitator;77513;Markets Chief
6;capacitor archive;sky blue Tasty Plastic Pizza;2019-08-30T00:40:49;interactive generating compelling;28093;Faroe Islands Plastic
7;Car Industrial deliverables;orange Books;2019-08-29T14:26:15;monitor;72900;quantify Unbranded Plastic Tuna Frozen
8;generating Highway Ergonomic;moratorium moratorium;2019-08-29T16:29:53;withdrawal COM;47221;Frozen bus
9;hard drive Robust Networked;Poland;2019-08-29T23:44:51;Grocery;10789;Outdoors
10;Harbor Montana;Corporate Phased relationships;2019-08-29T15:52:32;User-centric;7697;neutral Salad
